银行,厂商,机器型号,设备类型,操作系统,杀毒软件,是否有测试机,SP测试版本,中间件测试版本,生产使用SP版本,生产使用中间件版本,生产设备数量,银行前置P,备注
天津滨海农商行,WINCOR,WINCOR_2050XE,取款机(ATM),XP,暂无使用,无,ProBase11.10,ZJAXV2_0_0_Update_014P,ProBase11.10,ZJAXV2_0_0_Update_014P,29,,"设备数量：38台；
该机型无测试机，中间件测试版本以之前登记为准，生产为ZJAXV2_0_0_Update_010P（add by wangxybj-2014-4-9）"
天津滨海农商行,WINCOR,WINCOR_4000,存取款一体机(CRS),XP,暂无使用,无,ProBase11.10,ZJAXV2_0_0_Update_014P,ProBase11.10,ZJAXV2_0_0_Update_014P,1,,"设备数量：4台；
该机型无测试机，中间件测试版本以之前登记为准，生产为ZJAXV2_0_0_Update_010P（add by wangxybj-2014-4-9）"
天津滨海农商行,WINCOR,WINCOR_4000XS,存取款一体机(CRS),XP SP3,暂无使用,无,ProBase11.10,ZJAXV2_0_0_Update_014P,ProBase11.10,ZJAXV2_0_0_Update_014P,1,,"设备数量：1台
该机型无测试机，中间件测试版本以之前登记为准，生产为ZJAXV2_0_0_Update_010P（add by wangxybj-2014-4-9）"
天津滨海农商行,光荣,光荣100,柜员现金循环出钞机(TCR),WIN7,暂无使用,有,,,,,,,
天津滨海农商行,恒银,CASH80AWG,存取款一体机(CRS),XP SP3,暂无使用,有,无,ZJAXV2_0_0_Update_014P,1.2.3 update016,ZJAXV2_0_0_Update_014P,25,,"SP未经过测试部测试，由厂商出具正式承诺函保证设备安全运行后上线。
恒银设备数量：12台"
天津滨海农商行,恒银,CASH80AWI,取款机(ATM),XP SP3,暂无使用,有,无,ZJAXV2_0_0_Update_014P,1.2.3 update016,ZJAXV2_0_0_Update_014P,41,,"SP未经过测试部测试，由厂商出具正式承诺函保证设备安全运行后上线。
恒银设备数量：19台"
天津滨海农商行,辽宁聚龙,JL303,柜员现金循环出钞机(TCR),嵌入式系统,暂无使用,有,,,,,,,
天津滨海农商行,速必得,S1600（A）,点钞机,嵌入式系统,暂无使用,有,,,,,,,
天津滨海农商行,中钞信达,XD2018A,点钞机,嵌入式系统,暂无使用,有,,,,,,,
武汉农商,WINCOR,WINCOR_8050,取款机(ATM),XP SP3,,有,Probase 11.10,ZJAXV2_0_0_Update_007P,Probase 11.10,ZJAXV2_0_0_Update_007P,1,,
武汉农商,北京兆维,TELLER-590-G,取款机(ATM),XP SP3,,有,2,ZJAXV2_0_0_Update_019P_T2,,ZJAXV2_0_0_Update_019P_T2,,,
武汉农商,北京兆维,TELLER-730-G,存取款一体机(CRS),XP SP3,,有,2,ZJAXV2_0_0_Update_019P_T2,,ZJAXV2_0_0_Update_019P_T2,,,
武汉农商,长城,BST308,查询机,XP SP3,,有,3.2.0,ZJAXV2_0_0_Update_010P_T2,3.2.0,ZJAXV2_0_0_Update_010P_T2,52,,
武汉农商,迪堡,OPTEVA_368,存取款一体机(CRS),XP SP3,无,有,4.0.3.8_2016Z1A,ZJAXV2_0_0_Update_019P_T2,4.0.3.8_2015Z1A,ZJAXV2_0_0_Update_019P_T2,13,,
武汉农商,迪堡,OPTEVA_378,存取款一体机(CRS),XP SP3,,有,XFS4.0.0.0_2013Y1C,ZJAXV2_0_0_Update_007P,XFS4.0.0.0_2013Y1C,ZJAXV2_0_0_Update_007P,,,
